Participating state,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ohio,2.022482653,3.473001638,3.586796863,3.803246694,3.133633649,2.554846715,2.307802793,1.540399169,3.565836129,4.149831788,4.252849486,4.616934414,3.915957775,1.314665089,2.36201254
Oklahoma,1.155618391,1.429222385,0.8293441878,1.4001907,1.602336478,1.319427465,0.7650334346,2.579467439,1.064777976,0.8509429092,0.9494519481,0.852912632,0.9448148942,3.580898953,4.018134014
Oregon,3.767343184,3.813704072,4.541094366,4.952999478,5.450756607,4.077802028,5.251861641,0.3007308631,2.867977854,1.703289576,3.888918139,2.931303218,3.741163743,0.5523047817,0.7095413803
Pennsylvania,1.020332106,0.826188084,0.6873536372,0.5539278946,0.3668588342,0.4502621118,0.4217945544,1.143678413,0.505616251,0.3972252071,0.5099365519,0.4824280716,0.6126979289,2.940453084,4.314511626
Rhode Island,1.393807222,1.779676099,4.443049558,3.330833622,3.418124988,1.900116572,1.902402925,3.139526941,0.6657086802,0.3794598389,1.704064573,1.135905402,1.038089387,0.5270522135,0.3257718508
South Carolina,2.303512174,2.547281009,2.881315441,3.416468899,2.722781136,2.362297046,2.89190013,3.834006047,1.071112188,1.01805743,1.139603265,0.4658735473,1.741207702,1.23073311,1.60630579
South Dakota,1.687469415,12.67181987,5.503258078,6.110130742,5.79487788,7.047352683,2.871810581,4.91001811,1.693473483,2.318141778,2.045638188,2.28618749,2.127438576,2.237831489,1.338138036
Tennessee,2.146585278,3.346103744,3.882227196,4.103360926,2.684135678,2.316381465,2.248821828,1.492143292,3.017251598,2.975500739,3.348333159,2.134955017,2.025019714,2.479728222,2.356439796
Texas,1.155876667,1.043298995,1.013426944,1.012121055,0.6661183772,0.6936767379,0.5930719288,3.643021079,0.501813848,0.5385778084,0.697326214,0.6388493018,0.6762313301,2.523276109,1.712871748
Utah,1.808230572,1.390807873,2.099369655,1.484810206,1.747251355,2.317304453,2.450357734,1.926228653,2.600909209,1.70858918,1.584208609,2.189642989,2.552083776,1.634001129,1.57863749
Vermont,5.312843467,3.42984257,3.437511765,3.296603674,3.952334842,2.76427259,1.130339441,1.636967715,1.9247827,2.394995418,1.277869536,4.002600089,5.451714644,1.075483283,0.5849197929
Virginia,3.924359109,4.474407374,4.189174835,3.385753291,1.902927845,2.187220036,1.780565572,3.947383697,1.440968079,1.417427122,1.885378981,1.450408397,2.27923754,7.131763289,5.249226932
Washington,2.722223372,2.768599514,3.029213267,3.655472763,3.127037554,3.453676081,3.122009906,1.557114079,4.176725135,4.367711382,3.838935573,5.314396687,6.895464488,1.680358257,1.910091188
West Virginia,2.797927153,1.990811818,2.60837811,2.627077224,1.433497369,1.926430214,1.065156827,1.196631553,3.352753359,1.577480376,2.743386932,2.528731946,1.948389059,6.765286539,7.143161207
Wisconsin,0.8696390299,1.511741371,1.23228589,1.634693309,0.955655632,1.636631833,1.340412593,0.3601754054,0.8784295647,0.9090568802,0.7705054803,0.6014738586,0.797609253,2.732264742,1.968281462
Wyoming,0.7890251857,0.9933899831,4.068277317,1.136344267,1.482854495,0.3577011264,0.3565062389,,0.1730142719,0,0.3542475163,0.539135873,0.7231324652,0.9015631718,1.273512877
