state,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,YEAROW
Total,3.420318635,3.489221449,3.343207129,3.286630333,2.732970316,2.701391509,2.536270078,2.3270877,2.260782302,2.375661607,2.389082138,2.753269499,2.768560052,2.80361673
Alabama,0,0.04186906872,0.214092725,0.3736762519,0.2657639198,0.6378334075,4.200417679,0.7548052791,0.7986289139,1.183619884,0.5825261349,0.308396189,0,0
Alaska,1.810879037,3.871303785,3.488879198,3.104690152,4.133170762,3.099878071,2.62360457,1.22888536,0.9526142457,2.572552758,1.765812511,0.5433269266,1.090294066,2.335832216
Arizona,4.116164344,3.735920792,3.183858675,3.38099356,4.329656917,4.740500274,3.710818933,3.295208394,4.590148093,5.061373078,4.307413117,4.855091074,2.957134859,3.971279208
Arkansas,8.570363565,4.809787375,1.373043188,4.011352496,3.087555444,3.087555444,0.6418885788,1.277322492,0.5808586034,0.2803432102,0.5288692071,0.2820635771,0.4869632969,0.3554169272
California,4.450330616,4.388122905,4.86714437,4.764395889,3.454274332,3.577929289,3.194319248,2.608079376,2.409464561,2.591569225,2.889007665,3.212819382,3.092070759,3.090938838
Colorado,3.38708542,3.676086886,4.434427311,3.836260333,5.480135223,3.99296098,4.466703629,2.922982079,2.368774919,2.590687655,2.25983472,2.439186682,3.193023534,4.504555824
Connecticut,4.112266629,5.139466563,4.169936925,5.514045468,6.211359121,4.700487983,4.580098522,5.095296863,4.236455405,2.991791865,3.455787106,3.400048604,2.920575582,2.54899857
Delaware,6.164614166,8.43375752,6.757592556,8.134471858,4.900137427,2.227335194,2.314980681,1.389461893,1.902881174,1.155383298,1.97517722,3.118700874,1.870221195,2.772745758
District of Columbia,10.71712069,10.87895127,7.77246284,8.004575949,6.813766467,10.96850212,16.99040123,12.14157686,12.94203752,10.86366105,18.30045016,29.82829278,33.59645814,34.99827842
Florida,1.459637227,1.415821012,1.058369808,0.9867022357,0.7858685229,0.7805224785,0.7336860551,0.4142611105,1.344066702,0.9234437331,0.5361843,0.8091508527,0.7934018788,0.6267390813
Georgia,0.9866588149,2.35089797,2.526195748,0.1411783671,0.1567849675,0.2482428651,0.2441760239,0.87755061,0.625685595,0.596387329,0.5140806121,2.57040306,0.4824941701,1.323891868
Idaho,2.73508781,1.669101329,3.159424563,2.850219046,2.702259282,2.187543228,3.095353306,2.264366641,2.417685368,2.732987155,2.059721326,3.589800025,1.495158562,2.13195452
Illinois,4.497498638,3.80122812,2.485023694,1.660028124,1.695579956,1.104984691,0.8936542416,1.022476358,1.087912271,0.8162631956,0.9942760668,0.7660815597,1.163896273,0.783443513
Indiana,1.52554797,1.482995389,1.56720621,1.927525574,1.827567403,3.117614982,3.24217245,1.28003697,1.860606465,2.643864495,7.126312356,2.710621878,7.522791395,2.387549178
Iowa,1.396846466,1.422799412,1.07597782,1.208171265,0.6400299669,0.7747731178,0.6886058795,0.5042688035,0.3864617303,0.1926914695,0.676385358,0.3865059189,0.5259569623,0.414551656
Kansas,4.540388218,6.315006561,5.92571831,5.968027772,6.410325376,3.272403863,3.420467335,2.602720406,3.137171359,3.125798333,2.670955458,3.166990043,3.397015,3.791798837
Kentucky,1.255109564,1.822367584,3.584673923,2.209609811,5.495304949,6.400781332,5.193615762,4.764579614,4.520294532,4.923738518,5.422750667,9.720449328,6.474677491,4.013398023
Louisiana,0.6157400395,1.073594506,1.390235395,2.908378426,0.802241999,0.6494339992,0.2859451426,0.8499143619,0.296350258,1.263884828,0.8765103202,0.7968275639,1.672085831,0.9331143625
Maine,4.842963137,5.617947673,6.228844716,5.613285585,4.215721479,5.721336293,4.96917605,2.105122289,2.557683281,3.379700318,3.368497957,2.994220406,1.643748823,1.785432655
Maryland,3.714028385,3.88014689,2.715849217,1.842273977,1.853278536,1.420269533,1.098092425,0.9704827667,0.2996802911,0.7147075342,0.6609192031,0.8757179441,0.8609525248,0.2977332575
Massachusetts,7.872731471,7.14231737,6.549852112,6.05449073,6.066979132,5.717571957,6.66540066,6.059229664,6.365858045,7.276708987,6.62368235,7.250246896,7.042914828,6.511161622
Michigan,7.442038374,7.44085452,7.525040752,6.699010315,4.214879721,3.833582533,4.357524771,4.099695554,3.599657117,3.787682619,4.622858818,5.186867737,4.975859542,4.965188512
Minnesota,4.672117877,3.117269364,4.251515967,7.606327684,7.003577012,5.187834824,4.658696622,3.158608684,2.242051496,2.548761968,2.995362634,3.067977486,2.899077637,2.22297687
Mississippi,0,0,0,0.6040784964,0.2516356316,1.383995974,0.1335459385,0.2963720358,0.1309191836,0,1.466176768,0.5864707073,0.693821932,1.700626284
Missouri,3.205015481,1.701832611,2.286385152,2.10749284,2.789009432,2.789009432,2.449283585,1.913747404,1.743569313,2.249642315,1.865917157,2.17690335,1.351425314,1.744020273
Montana,8.231578902,3.071698745,2.92447135,2.89180617,3.158151035,3.769406074,2.326576483,3.727201114,4.200010354,4.510348851,1.904752835,1.714277551,0.6589109708,3.316089667
Nebraska,5.289650104,4.891947145,5.933588313,0.7886704856,5.343206536,4.03998543,2.638142261,2.211739459,3.349447286,1.028903525,1.875825698,2.465370918,1.965087691,3.14370019
Nevada,4.182528873,5.619620549,3.153643593,4.474084523,2.369886738,2.814240501,3.206593489,2.822384188,1.003166894,2.380905411,1.634401687,0.2334859553,1.219354652,1.725966647
New Hampshire,3.53128473,3.81746264,4.396041101,7.755852653,2.336106956,3.028286794,2.209629224,1.857550134,1.735405829,1.176313746,3.0874775,1.234991,1.442391272,1.294198792
