Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2434,1,2,444,755,1227,5,1280,53,61,84,7,12,1045,18,11
Anti-White,446,0,2,92,192,157,3,230,32,22,49,6,0,111,10,3
Anti-Black,1737,1,0,315,486,933,2,858,19,25,16,1,11,781,5,5
Anti-Native,17,0,0,3,12,2,0,27,1,1,17,0,0,5,3,1
Anti-Asian,130,0,0,15,42,73,0,60,0,7,1,0,0,52,0,0
Anti-Multiple,104,0,0,19,23,62,0,105,1,6,1,0,1,96,0,2
Anti-Hispanic,524,1,1,112,183,227,0,156,16,9,11,3,5,105,7,1
Anti-Other,255,0,0,42,93,120,0,103,7,6,9,1,2,78,0,1
Religion,493,3,0,35,133,321,1,916,11,29,38,1,17,816,4,0
Anti-Jewish,278,0,0,12,65,201,0,644,9,6,8,0,2,619,0,0
Anti-Catholic,12,0,0,0,5,7,0,49,0,6,10,1,0,31,1,0
Anti-Protestant,4,0,0,0,1,3,0,42,0,5,3,0,1,33,0,0
Anti-Islamic,132,0,0,17,46,69,0,54,1,1,3,0,1,47,1,0
Anti-Others,44,3,0,4,11,25,1,90,1,9,8,0,12,59,1,0
Anti-Multiple,22,0,0,2,5,15,0,31,0,1,5,0,1,23,1,0
Anti-Atheism,1,0,0,0,0,1,0,6,0,1,1,0,0,4,0,0
Sexual Orientation,1082,2,1,247,495,331,6,388,56,19,24,4,7,273,5,0
Anti-Male Homosexual,653,1,0,158,301,190,3,198,39,6,12,1,5,134,1,0
Anti-Female Homosexual,119,0,1,23,40,52,3,48,2,4,2,1,0,39,0,0
Anti-Homosexual,281,0,0,58,139,84,0,122,15,8,3,1,2,92,1,0
Anti-Heterosexual,11,0,0,3,7,1,0,10,0,0,1,0,0,8,1,0
Anti-Bisexual,18,1,0,5,8,4,0,10,0,1,6,1,0,0,2,0
Disability,32,0,0,6,20,5,1,13,3,1,7,0,0,1,1,1
Anti-Physical,18,0,0,4,8,5,1,3,0,0,3,0,0,0,0,1
Anti-Mental,14,0,0,2,12,0,0,10,3,1,4,0,0,1,1,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gender Non-Conforming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
