Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2259,2,7,398,750,1087,15,1094,54,91,126,11,17,759,36,54
Anti-White,444,1,6,79,194,155,9,256,24,32,75,6,4,98,17,28
Anti-Black,1598,1,0,288,478,829,2,651,23,36,16,1,11,557,7,14
Anti-Native,54,0,0,11,16,26,1,82,3,16,27,4,0,22,10,10
Anti-Asian,104,0,1,15,43,43,2,53,4,6,5,0,2,34,2,1
Anti-Multiple,56,0,0,4,18,33,1,52,0,1,3,0,0,48,0,1
Anti-Hispanic,327,1,1,79,118,128,0,87,11,9,7,1,0,55,4,4
Anti-Other,260,0,0,24,123,107,6,111,4,9,16,2,0,77,3,5
Religion,414,0,1,23,134,255,1,743,3,29,38,1,17,649,6,5
Anti-Jewish,229,0,0,5,72,152,0,460,1,6,11,0,4,437,1,0
Anti-Catholic,17,0,0,0,6,11,0,55,0,6,9,0,3,36,1,2
Anti-Protestant,3,0,0,0,0,3,0,39,0,6,5,0,3,24,1,0
Anti-Islamic,111,0,0,17,41,53,0,52,2,2,2,0,1,43,2,1
Anti-Others,40,0,1,1,11,26,1,94,0,5,4,1,5,78,1,1
Anti-Multiple,13,0,0,0,3,10,0,37,0,3,6,0,1,27,0,1
Anti-Atheism,1,0,0,0,1,0,0,6,0,1,1,0,0,4,0,0
Sexual Orientation,1064,2,3,193,547,318,1,330,47,30,17,3,2,223,8,4
Anti-Male Homosexual,669,2,0,120,359,188,0,180,30,23,4,0,2,115,6,0
Anti-Female Homosexual,146,0,0,24,66,56,0,35,3,0,3,0,0,28,1,0
Anti-Homosexual,217,0,1,47,111,58,0,99,13,3,4,2,0,76,1,1
Anti-Heterosexual,14,0,1,0,6,6,1,7,0,3,2,0,0,2,0,3
Anti-Bisexual,18,0,1,2,5,10,0,9,1,1,4,1,0,2,0,0
Disability,46,0,1,6,16,21,2,40,3,5,17,1,0,11,3,6
Anti-Physical,12,0,1,1,5,5,0,11,2,0,6,0,0,2,1,0
Anti-Mental,34,0,0,5,11,16,2,29,1,5,11,1,0,9,2,6
Gender,25,0,2,2,19,2,0,4,0,0,2,1,0,1,0,1
Anti-Male,2,0,0,1,1,0,0,3,0,0,1,1,0,1,0,0
Anti-Female,23,0,2,1,18,2,0,1,0,0,1,0,0,0,0,1
Gender Identity,22,0,0,8,10,4,0,10,3,1,2,0,0,4,0,0
Anti-Transgender,19,0,0,8,7,4,0,6,3,1,0,0,0,2,0,0
Anti-Gender Non-Conforming,3,0,0,0,3,0,0,4,0,0,2,0,0,2,0,0
