Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2068,4,3,404,684,971,2,985,56,91,123,16,7,667,25,28
Anti-White,453,3,0,96,185,168,1,228,30,27,70,3,1,84,13,20
Anti-Black,1391,1,2,265,421,701,1,560,17,24,17,2,4,491,5,4
Anti-Native,59,0,1,10,23,25,0,81,5,13,28,8,0,21,6,2
Anti-Asian,97,0,0,17,38,42,0,71,3,27,5,2,2,31,1,0
Anti-Multiple,66,0,0,16,17,33,0,43,1,0,2,1,0,39,0,2
Anti-Hispanic,281,0,2,56,99,124,0,93,14,8,4,1,2,63,1,2
Anti-Other,299,0,1,66,139,91,2,113,5,5,24,1,2,75,1,2
Religion,361,0,0,37,129,194,1,719,4,25,30,1,12,637,10,12
Anti-Jewish,162,0,0,4,65,93,0,469,1,8,5,0,2,451,2,4
Anti-Catholic,9,0,0,0,4,5,0,56,0,3,8,0,3,40,2,2
Anti-Protestant,7,0,0,1,2,4,0,20,0,3,4,0,0,12,1,1
Anti-Islamic,120,0,0,20,36,64,0,55,3,2,2,0,1,45,2,3
Anti-Others,37,0,0,9,13,15,0,82,0,6,6,1,6,60,3,1
Anti-Multiple,20,0,0,0,8,11,1,30,0,2,3,0,0,25,0,1
Anti-Atheism,6,0,0,3,1,2,0,7,0,1,2,0,0,4,0,0
Sexual Orientation,876,0,1,171,397,306,1,298,36,20,20,1,2,216,3,4
Anti-Male Homosexual,534,0,0,108,259,166,1,148,24,14,4,1,2,102,1,1
Anti-Female Homosexual,129,0,0,23,40,66,0,38,5,2,4,0,0,27,0,1
Anti-Homosexual,191,0,1,36,88,66,0,87,7,3,3,0,0,74,0,0
Anti-Heterosexual,9,0,0,0,4,5,0,9,0,0,4,0,0,5,0,0
Anti-Bisexual,13,0,0,4,6,3,0,16,0,1,5,0,0,8,2,2
Disability,52,0,1,5,24,22,0,41,1,5,12,0,0,14,9,2
Anti-Physical,16,0,0,2,6,8,0,10,0,0,3,0,0,1,6,0
Anti-Mental,36,0,1,3,18,14,0,31,1,5,9,0,0,13,3,2
Gender,28,0,1,5,8,14,0,9,1,2,2,0,0,3,1,3
Anti-Male,10,0,0,1,1,8,0,2,0,2,0,0,0,0,0,0
Anti-Female,18,0,1,4,7,6,0,7,1,0,2,0,0,3,1,3
Gender Identity,66,0,0,23,27,16,0,43,4,4,22,2,0,9,2,0
Anti-Transgender,55,0,0,18,21,16,0,14,3,1,5,1,0,4,0,0
Anti-Gender Non-Conforming,11,0,0,5,6,0,0,29,1,3,17,1,0,5,2,0
