Bias motivation,Against persons,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other,Against property,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Vandalism,Other,Against society
Category,category,against persons,against persons,against persons,against persons,against persons,against persons,category,against property,against property,against property,against property,against property,against property,against property,category
Race,2365,1,3,470,752,1135,4,1085,50,52,76,5,15,868,19,15
Anti-White,411,0,1,91,171,147,1,165,24,9,41,3,1,77,10,1
Anti-Black,1749,1,1,347,500,897,3,733,21,34,19,1,10,647,1,12
Anti-Native,36,0,0,12,20,4,0,29,1,0,11,1,0,10,6,2
Anti-Asian,111,0,1,9,45,56,0,54,1,3,5,0,1,42,2,0
Anti-Multiple,58,0,0,11,16,31,0,104,3,6,0,0,3,92,0,0
Anti-Hispanic,380,0,1,82,144,153,0,124,17,11,4,0,3,87,2,2
Anti-Other,255,0,0,46,82,127,0,129,5,14,4,1,2,103,0,1
Religion,438,0,0,36,108,291,3,880,5,29,49,0,13,780,4,0
Anti-Jewish,245,0,0,15,43,187,0,575,3,7,13,0,3,549,0,0
Anti-Catholic,6,0,0,0,3,3,0,62,0,4,11,0,1,46,0,0
Anti-Protestant,9,0,0,4,4,1,0,40,0,6,2,0,1,30,1,0
Anti-Islamic,125,0,0,14,41,70,0,50,1,1,7,0,2,39,0,0
Anti-Others,37,0,0,3,8,23,3,102,1,8,3,0,5,84,1,0
Anti-Multiple,16,0,0,0,9,7,0,47,0,3,11,0,1,31,1,0
Anti-Atheism,0,0,0,0,0,0,0,4,0,0,2,0,0,1,1,0
Sexual Orientation,1134,3,2,252,491,380,6,373,54,17,17,0,8,275,2,1
Anti-Male Homosexual,679,3,0,162,291,218,5,191,33,9,6,0,5,138,0,1
Anti-Female Homosexual,128,0,2,28,42,56,0,40,3,1,1,0,0,35,0,0
Anti-Homosexual,302,0,0,60,142,99,1,127,17,5,7,0,2,96,0,0
Anti-Heterosexual,10,0,0,2,5,3,0,7,1,2,0,0,0,3,1,0
Anti-Bisexual,15,0,0,0,11,4,0,8,0,0,3,0,1,3,1,0
Disability,42,0,1,7,16,15,3,15,0,1,2,0,0,8,4,1
Anti-Physical,14,0,0,0,7,5,2,9,0,0,1,0,0,4,4,0
Anti-Mental,28,0,1,7,9,10,1,6,0,1,1,0,0,4,0,1
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anti-Gender Non-Conforming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
